INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,SUSPECT_AGE,OFFICER_GENDER,OFFICER_RACE,SNA_NEIGHBORHOOD,CPD_NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD
-6756,03/24/2003 10:07:00 PM,20030179,P030831656,DISTRICT 5,9826,INJURY TO PRISONER,25XX W NORTH BEND RD,39.191079131207,-84.5700883585903,MALE,BLACK,UNKNOWN,MALE,WHITE,MT. AIRY,MOUNT AIRY,MOUNT AIRY
9231,01/21/2018 07:41:00 PM,2018-232503,CPD 180121001070,CENTRAL BUSINESS DISTRICT,2382,USE OF FORCE INVESTIGATION,10XX MAIN ST,39.1080991618575,-84.5109592263236,MALE,BLACK,ADULT,MALE,WHITE,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN
6533,07/11/2012 07:52:00 PM,2012-171477,LCP120711001448,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,77XX READING RD,39.2026459939235,-84.4560941719597,MALE,BLACK,ADULT,MALE,WHITE,ROSELAWN,ROSELAWN,ROSELAWN
9467,07/04/2018 11:08:00 AM,2018-237580,CPD180704000447,DISTRICT 3,9825,CHEMICAL IRRITANT,5XX ELBERON AV,39.1013336837557,-84.5654130080968,MALE,WHITE,ADULT,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
8193,11/14/2015 10:52:00 PM,2015-207207,LCP151114001449,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,55XX BOSWORTH PL,39.1752547579281,-84.4425237943588,MALE,HISPANIC/LATINO,ADULT,MALE,BLACK,PLEASANT RIDGE,PLEASANT RIDGE,PLEASANT RIDGE
363,12/08/2004 03:34:00 PM,2004-52813,P043430650,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX STATE AV,39.1036994123954,-84.5541358832192,MALE,WHITE,ADULT,MALE,WHITE,LOWER PRICE HILL,LOWER PRICE  HILL,LOWER PRICE HILL
-1142,11/02/1997 10:45:00 PM,9701391,P973060991,DISTRICT 1,9826,INJURY TO PRISONER,10XX SYCAMORE ST,39.1080099723178,-84.5086296587137,MALE,WHITE,UNKNOWN,MALE,WHITE,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN
-7534,01/24/2004 02:59:00 AM,20040033,P040240178,DISTRICT 4,9826,INJURY TO PRISONER,7XX RIDGEWAY AV,39.1390267428387,-84.4952978886846,MALE,BLACK,UNKNOWN,MALE,WHITE,AVONDALE,AVONDALE,AVONDALE
3246,06/21/2007 11:35:00 PM,2007-100079,P071722074,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,16XX PLEASANT ST,39.1132210753841,-84.5186258275981,MALE,BLACK,ADULT,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR
-1898,08/31/1998 02:07:00 AM,9800658,P982430129,DISTRICT 2,9825,CHEMICAL IRRITANT,43XX KELLOGG AV,39.101079515949,-84.4324005910197,OTHER,UNKNOWN,UNKNOWN,MALE,WHITE,LINWOOD,EAST  END,EAST END
-967,08/27/1997 08:47:00 PM,9700618,P97239286,DISTRICT 5,9825,CHEMICAL IRRITANT,41XX HAMILTON AV,39.1600229425792,-84.5398290556388,FEMALE,WHITE,UNKNOWN,MALE,WHITE,NORTHSIDE,NORTHSIDE,NORTHSIDE
6476,05/16/2012 11:15:00 PM,2012-170141,LCP120516001762,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,3XX EZZARD CHARLES DR,39.1087720012991,-84.520369034775,MALE,BLACK,ADULT,MALE,WHITE,WEST END,WEST  END,WEST END
7567,08/30/2014 12:09:00 AM,2014-194298,LCP140829002138,DISTRICT 5,9826,INJURY TO PRISONER,11XX GROESBECK RD,39.1946573287683,-84.537741914578,FEMALE,BLACK,ADULT,MALE,WHITE,COLLEGE HILL,COLLEGE  HILL,COLLEGE HILL
-1354,02/14/1998 03:00:00 PM,9800107,P980450756,DISTRICT 2,9825,CHEMICAL IRRITANT,36XX BEVIS AV,39.1454078069343,-84.4655714950209,MALE,BLACK,UNKNOWN,MALE,WHITE,EVANSTON,EVANSTON,EVANSTON
-6391,10/14/2002 05:27:00 AM,20020646,P022870184,DISTRICT 1,9825,CHEMICAL IRRITANT,1XX E CLIFTON AV,39.1166912981876,-84.5149549775412,MALE,BLACK,UNKNOWN,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR
-4434,11/16/2000 10:58:00 AM,20001131,P003210440,DISTRICT 3,9826,INJURY TO PRISONER,6XX DELHI AV,39.0885368214483,-84.56792515778,MALE,WHITE,UNKNOWN,MALE,WHITE,SEDAMSVILLE,SEDAMSVILLE,SEDAMSVILLE
4449,01/23/2009 07:31:00 PM,2009-125724,LCP090123001526,DISTRICT 3,9826,INJURY TO PRISONER,32XX WARSAW AV,39.1085851564155,-84.5628849931898,MALE,WHITE,JUVENILE,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
8332,03/01/2016 12:51:00 PM,2016-210572,LCP160301000547,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,24XX FERGUSON RD,39.1309650275515,-84.6008823066924,MALE,BLACK,ADULT,MALE,BLACK,WESTWOOD,WESTWOOD,WESTWOOD
5744,02/11/2011 01:24:00 PM,2011-153260,LCP110211000860,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,21XX QUEEN CITY AV,39.1284253938713,-84.5713548152264,MALE,WHITE,ADULT,MALE,WHITE,EAST PRICE HILL,SOUTH  FAIRMOUNT,SOUTH FAIRMOUNT
3330,07/26/2007 02:52:00 PM,2007-101552,P072070926,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,23XX STRATFORD AV,39.1278717187917,-84.5225969301993,MALE,BLACK,ADULT,MALE,WHITE,CUF,FAIRVIEW,CUF
2947,02/09/2007 11:48:00 PM,2007-94538,P070401806,DISTRICT 4,9825,CHEMICAL IRRITANT,35XX BURNET AV,39.1464813239948,-84.5003669486168,FEMALE,BLACK,ADULT,MALE,WHITE,AVONDALE,AVONDALE,AVONDALE
9283,01/22/2018 10:50:00 PM,2018-233398,LCP180122001547,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,16XX DEWEY AV,39.1178300453947,-84.5829083684961,MALE,BLACK,ADULT,MALE,BLACK,WEST PRICE HILL,WEST PRICE HILL,WEST PRICE HILL
-6414,10/22/2002 11:10:00 AM,20020669,P022950514,DISTRICT 3,9825,CHEMICAL IRRITANT,7XX STEINER AV,39.0911945808447,-84.5713578290188,MALE,WHITE,UNKNOWN,FEMALE,WHITE,SEDAMSVILLE,SEDAMSVILLE,SEDAMSVILLE
-2592,05/08/1999 06:01:00 PM,9900360,P99120973,DISTRICT 3,9825,CHEMICAL IRRITANT,37XX LACLEDE AV,39.1132191790748,-84.5747480772138,MALE,BLACK,UNKNOWN,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
2620,09/20/2006 05:05:00 AM,2006-88612,P062630179,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,28XX COLERAIN AV,39.1331729326865,-84.5344652399545,MALE,BLACK,ADULT,MALE,WHITE,CAMP WASHINGTON,CAMP  WASHINGTON,CAMP WASHINGTON
-725,06/03/1997 01:05:00 AM,9700371,P971540034,DISTRICT 3,9826,INJURY TO PRISONER,9XX ENRIGHT AV,39.1089559556136,-84.5722720078765,MALE,WHITE,UNKNOWN,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
-2012,09/27/1998 02:42:00 AM,9800773,P982700174,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,48XX HAMILTON AV,39.1810102647548,-84.54539573308,MALE,BLACK,UNKNOWN,FEMALE,WHITE,COLLEGE HILL,COLLEGE  HILL,COLLEGE HILL
3006,03/09/2007 01:47:00 AM,2007-95544,P070680103,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,11XX MAIN ST,39.1081150226892,-84.5120885828843,MALE,WHITE,JUVENILE,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR
7761,02/15/2015 01:14:00 AM,2015-198985,LCP150215000044,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,29XX WARSAW AV,39.1090214152331,-84.5607801137282,MALE,BLACK,ADULT,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
5843,04/13/2011 06:58:00 PM,2011-155406,LCP110413001543,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,33XX PERKINS AV,39.1404374320306,-84.4922686852285,MALE,BLACK,JUVENILE,MALE,WHITE,AVONDALE,AVONDALE,AVONDALE
8847,04/01/2017 10:50:00 PM,2017-223199,CPD170401001540,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,32XX BURNET AV,39.1359475827681,-84.5009791551466,MALE,BLACK,ADULT,MALE,WHITE,AVONDALE,AVONDALE,AVONDALE
-4395,11/04/2000 02:20:00 AM,20001092,P003090247,DISTRICT 4,9825,CHEMICAL IRRITANT,17XX SEYMOUR AV,39.1918876856468,-84.4642454324217,MALE,BLACK,UNKNOWN,MALE,BLACK,ROSELAWN,ROSELAWN,ROSELAWN
3447,09/14/2007 04:45:00 PM,2007-103600,P072571099,DISTRICT 1,9825,CHEMICAL IRRITANT,16XX RACE ST,39.1140301002348,-84.5178406040422,MALE,BLACK,ADULT,MALE,BLACK,OVER-THE-RHINE,OVER-THE-RHINE,OTR
3192,05/26/2007 12:02:00 AM,2007-98836,P071452126,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,42XX KIRBY AV,39.1639001716982,-84.5461597510776,MALE,BLACK,JUVENILE,FEMALE,BLACK,NORTHSIDE,NORTHSIDE,NORTHSIDE
-257,10/18/1996 11:27:00 PM,9600412,P962921317,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,5XX GLENWOOD AV,39.1502558211206,-84.4965691303816,MALE,BLACK,UNKNOWN,MALE,BLACK,AVONDALE,AVONDALE,AVONDALE
6035,08/05/2011 12:18:00 AM,2011-159651,LCP110805000001,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,17XX STATE AV,39.1185671643141,-84.5470310898803,MALE,WHITE,ADULT,MALE,WHITE,LOWER PRICE HILL,LOWER PRICE  HILL,LOWER PRICE HILL
-5929,04/02/2002 05:07:00 PM,20020180,P020920916,DISTRICT 3,9825,CHEMICAL IRRITANT,19XX WESTWOOD NORTHERN BLVD,39.14430478618,-84.5571382586234,FEMALE,BLACK,UNKNOWN,MALE,WHITE,MILLVALE,EAST  WESTWOOD,MILLVALE
-1707,06/18/1998 05:53:00 PM,9800466,P981691106,DISTRICT 1,9826,INJURY TO PRISONER,7XX CLARK ST,39.108570665904,-84.5266025312714,MALE,BLACK,UNKNOWN,MALE,BLACK,WEST END,WEST  END,WEST END
-5760,01/12/2002 02:35:00 AM,20020011,,DISTRICT 5,9825,CHEMICAL IRRITANT,2XX LUDLOW AV,39.1426935267837,-84.5181782068732,MALE,BLACK,UNKNOWN,FEMALE,WHITE,CLIFTON,CLIFTON,CLIFTON
7305,03/10/2014 01:19:00 PM,2014-189514,LCP140310000704,DISTRICT 1,9826,INJURY TO PRISONER,X BACK ST,39.1160185412449,-84.5149579999241,MALE,BLACK,ADULT,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR
-6313,09/08/2002 06:17:00 PM,20020568,P022511077,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,5XX VINE ST,39.1010978392572,-84.512967720729,MALE,BLACK,UNKNOWN,MALE,WHITE,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN
-8231,09/24/2004 11:30:00 PM,20040741,P042682095,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,13XX MAIN ST,39.1092020939671,-84.5115424417803,MALE,BLACK,UNKNOWN,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR
-6565,12/08/2002 02:55:00 AM,20020821,P023420193,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,5XX HICKMAN AV,39.1381654996653,-84.497635463072,MALE,BLACK,UNKNOWN,FEMALE,WHITE,AVONDALE,AVONDALE,AVONDALE
2296,06/01/2006 09:55:00 AM,2006-83513,P061520482,DISTRICT 1,9825,CHEMICAL IRRITANT,9XX POPLAR ST,39.1145219753232,-84.5319382240587,FEMALE,BLACK,ADULT,FEMALE,BLACK,WEST END,WEST  END,WEST END
6666,10/15/2012 12:55:00 PM,2012-174900,LCP121015000610,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,49XX HAWAIIAN TER,39.1828472087608,-84.5617638176427,FEMALE,BLACK,ADULT,MALE,BLACK,MT. AIRY,MOUNT AIRY,MOUNT AIRY
9812,02/23/2019 12:58:42 PM,2019-244647,CPD190223000588,DISTRICT 3,9826,INJURY TO PRISONER,23XX WYOMING AV,39.1260553548347,-84.5740280749158,MALE,WHITE,ADULT,MALE,HISPANIC/LATINO,WEST PRICE HILL,WEST PRICE HILL,WEST PRICE HILL
1579,09/23/2005 03:17:00 AM,2005-73110,P05266025,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,8XX HAWTHORNE AV,39.1056064810712,-84.563415916384,MALE,WHITE,ADULT,MALE,BLACK,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
1404,07/29/2005 12:41:00 AM,2005-70784,P052091957,DISTRICT 3,9826,INJURY TO PRISONER,16XX YONKERS AV,39.1398151395743,-84.5492901830353,MALE,BLACK,ADULT,MALE,WHITE,MILLVALE,MILLVALE,NORTH FAIRMOUNT
3115,04/18/2007 12:57:00 AM,2007-97455,P071080078,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,77XX READING RD,39.2018918677163,-84.455267032417,MALE,BLACK,UNKNOWN,MALE,BLACK,ROSELAWN,ROSELAWN,ROSELAWN
-214,10/09/1996 12:16:00 AM,9600369,P962821366,DISTRICT 4,9826,INJURY TO PRISONER,5XX PROSPECT PL,39.1439595939246,-84.4957555526317,MALE,BLACK,UNKNOWN,MALE,BLACK,AVONDALE,AVONDALE,AVONDALE
2767,11/17/2006 02:10:00 PM,2006-91395,P063210916,DISTRICT 1,9826,INJURY TO PRISONER,18XX VINE ST,39.1149210399422,-84.5177422462913,MALE,WHITE,ADULT,FEMALE,BLACK,OVER-THE-RHINE,OVER-THE-RHINE,OTR
-6802,04/06/2003 11:13:00 PM,20030225,P030961400,DISTRICT 4,9825,CHEMICAL IRRITANT,X W CORRY ST,39.1289399903349,-84.5094761919407,MALE,WHITE,UNKNOWN,MALE,WHITE,CORRYVILLE,CORRYVILLE,CORRYVILLE
-6917,05/11/2003 08:35:00 AM,20030341,P031310439,DISTRICT 1,9826,INJURY TO PRISONER,14XX LINN ST,39.1106154158429,-84.5274247908034,MALE,BLACK,UNKNOWN,MALE,WHITE,WEST END,WEST  END,WEST END
4571,03/08/2009 01:37:00 AM,2009-128224,LCP090308000141,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,37XX WARSAW AV,39.1122382552326,-84.5748277323169,MALE,BLACK,ADULT,FEMALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
-838,07/12/1997 06:30:00 AM,9700487,P971930368,DISTRICT 3,9826,INJURY TO PRISONER,7XX SEDAM ST,39.0906424361715,-84.5700888969501,MALE,WHITE,UNKNOWN,MALE,WHITE,SEDAMSVILLE,SEDAMSVILLE,SEDAMSVILLE
2082,03/14/2006 07:28:00 PM,2006-79727,P060731502,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,19XX RACE ST,39.1192175355578,-84.5191844084948,MALE,BLACK,ADULT,FEMALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR
4390,12/21/2008 02:13:00 AM,2008-124422,LCP081221000143,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,42XX TURRILL ST,39.1632536600123,-84.5415949241537,MALE,WHITE,ADULT,FEMALE,BLACK,NORTHSIDE,NORTHSIDE,NORTHSIDE
7205,12/01/2013 10:55:00 PM,2013-186780,LCP131201001390,DISTRICT 5,9826,INJURY TO PRISONER,51XX HAWAIIAN TER,39.1836353450653,-84.5662551427045,MALE,BLACK,ADULT,FEMALE,WHITE,MT. AIRY,MOUNT AIRY,MOUNT AIRY
-5481,09/13/2001 10:17:00 PM,20010902,P012561606,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,13XX LINCOLN AV,39.1311018080169,-84.481581133351,MALE,BLACK,UNKNOWN,MALE,BLACK,WALNUT HILLS,WALNUT HILLS,WALNUT HILLS
5771,02/08/2011 07:49:00 PM,2011-153707,LCP110208001428,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,37XX WESTMONT DR,39.1216763940302,-84.5730946410456,MALE,WHITE,ADULT,MALE,WHITE,EAST PRICE HILL,WEST PRICE HILL,WEST PRICE HILL
-211,09/25/1996 03:00:00 PM,9600366,,DISTRICT 1,9826,INJURY TO PRISONER,8XX YORK ST,39.1162651883488,-84.5276538045281,MALE,BLACK,UNKNOWN,MALE,WHITE,WEST END,WEST  END,WEST END
2371,06/28/2006 05:52:00 PM,2006-84797,P061791384,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX VINE ST,39.1233677403943,-84.5133888497024,MALE,BLACK,ADULT,MALE,WHITE,MT. AUBURN,MOUNT  AUBURN,MOUNT AUBURN
6308,02/03/2012 06:50:00 PM,2012-165711,LCP120203001354,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX JONES ST,39.1114512607304,-84.5275115920185,MALE,BLACK,ADULT,MALE,WHITE,WEST END,WEST  END,WEST END
-6172,07/13/2002 02:00:00 AM,20020425,P021940194,DISTRICT 1,9825,CHEMICAL IRRITANT,11XX MAIN ST,39.1078562540708,-84.5119656998639,MALE,WHITE,UNKNOWN,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR
-3977,07/28/2000 03:05:00 PM,20000673,P002100833,DISTRICT 3,9825,CHEMICAL IRRITANT,9XX ELBERON AV,39.1100257424813,-84.5644613684527,MALE,WHITE,UNKNOWN,MALE,TWO OR MORE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
885,03/08/2005 10:05:00 AM,2005-62945,P050670464,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,52XX PONDEROSA DR,39.1866311658645,-84.5744136536139,MALE,WHITE,ADULT,FEMALE,WHITE,MT. AIRY,MOUNT AIRY,MOUNT AIRY
2301,06/02/2006 11:33:00 PM,2006-83563,P061532010,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,21XX STORRS ST,39.1035802893227,-84.5513711773479,MALE,BLACK,ADULT,MALE,WHITE,LOWER PRICE HILL,LOWER PRICE  HILL,LOWER PRICE HILL
2429,06/08/2006 08:16:00 AM,2006-85670,P061590409,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,19XX SUTTER AV,39.1404606751979,-84.557947979042,FEMALE,BLACK,ADULT,MALE,BLACK,ENGLISH WOODS,ENGLISH  WOODS,ENGLISH WOODS
9624,09/16/2018 06:45:00 PM,2018-240121,LCP180916001075,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,9XX KIRBERT AV,39.1101611898825,-84.5752078180058,MALE,BLACK,ADULT,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
3560,11/07/2007 11:56:00 PM,2007-105800,P073111701,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,38XX PRESIDENT DR,39.1539262981949,-84.559515645804,MALE,BLACK,ADULT,MALE,WHITE,VILLAGES AT ROLL HILL,FAY APARTMENTS,VILLAGES AT ROLL HILL
-482,02/19/1997 04:34:00 PM,9700121,P970500886,DISTRICT 3,9826,INJURY TO PRISONER,16XX STATE AV,39.1166154246172,-84.5478486871891,MALE,WHITE,UNKNOWN,MALE,WHITE,LOWER PRICE HILL,LOWER PRICE  HILL,LOWER PRICE HILL
-4181,09/13/2000 01:08:00 AM,20000877,P002570075,DISTRICT 2,9826,INJURY TO PRISONER,16XX BLAIR AV,39.1394372233283,-84.4752011893469,MALE,BLACK,UNKNOWN,MALE,WHITE,EVANSTON,EVANSTON,EVANSTON
2663,10/07/2006 01:13:00 AM,2006-89570,P062800124,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,59XX HAMILTON AV,39.1992967388898,-84.5468459357038,MALE,BLACK,ADULT,MALE,BLACK,COLLEGE HILL,COLLEGE  HILL,COLLEGE HILL
-8220,09/18/2004 02:05:00 AM,20040728,P042620176,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX W 5TH ST,39.1011190226603,-84.5154219095426,MALE,BLACK,UNKNOWN,MALE,BLACK,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN
8041,09/18/2015 04:14:00 PM,2015-205302,LCP150918001023,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,48XX SPRING GROVE AV,39.1683092324565,-84.5119053181441,MALE,BLACK,JUVENILE,MALE,WHITE,SPRING GROVE VILLAGE,SPRING GROVE VILLAGE,SPRING GROVE VILLAGE
1367,07/19/2005 04:15:00 PM,2005-70285,P052001144,DISTRICT 1,9826,INJURY TO PRISONER,13XX REPUBLIC ST,39.1103434701875,-84.5161459491298,MALE,WHITE,ADULT,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR
-4405,11/11/2000 12:31:00 AM,20001102,P003170027,DISTRICT 3,9825,CHEMICAL IRRITANT,8XX OVERLOOK AV,39.1098734514999,-84.6001789074568,MALE,WHITE,UNKNOWN,MALE,WHITE,WEST PRICE HILL,WEST PRICE HILL,WEST PRICE HILL
1184,02/13/2005 12:32:00 PM,2005-67129,P050440583,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX WINFIELD AV,39.1100698528146,-84.5839291977399,MALE,BLACK,JUVENILE,MALE,WHITE,WEST PRICE HILL,WEST PRICE HILL,WEST PRICE HILL
9551,08/27/2018 12:51:00 AM,2018-239933,LCP180827000004,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,25XX ADDISON ST,39.1271807467782,-84.5328738427494,MALE,BLACK,ADULT,MALE,WHITE,CUF,CLIFTON/UNIVERSITY HEIGHTS,CUF
-991,09/15/1997 11:40:00 PM,9701230,P972590087,DISTRICT 4,9825,CHEMICAL IRRITANT,2XX GOODMAN ST,39.1379952823833,-84.5026422007899,MALE,BLACK,UNKNOWN,MALE,WHITE,CORRYVILLE,CORRYVILLE,CORRYVILLE
-5280,07/12/2001 11:30:00 PM,20010700,P011931629,DISTRICT 5,9825,CHEMICAL IRRITANT,42XX HAMILTON AV,39.1633719802533,-84.5406870717393,MALE,BLACK,UNKNOWN,MALE,WHITE,NORTHSIDE,NORTHSIDE,NORTHSIDE
7260,02/14/2014 02:21:00 PM,2014-188891,LCP140214000859,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,30XX FAIRFIELD AV,39.1320804133731,-84.4718526523088,MALE,BLACK,JUVENILE,MALE,WHITE,EVANSTON,EVANSTON,EAST WALNUT HILLS
-619,04/27/1997 04:40:00 AM,9700263,P971170288,DISTRICT 3,9825,CHEMICAL IRRITANT,33XX STATHEM AV,39.1486372459364,-84.6016786598313,MALE,WHITE,UNKNOWN,MALE,WHITE,WESTWOOD,WESTWOOD,WESTWOOD
-1270,01/09/1998 04:04:00 PM,9800019,P980090768,DISTRICT 1,9826,INJURY TO PRISONER,16XX LOCKHURST LN,39.1136566607948,-84.5310280997968,MALE,BLACK,UNKNOWN,MALE,WHITE,WEST END,WEST  END,WEST END
-3933,07/04/2000 03:04:00 AM,20000629,P001860265,DISTRICT 4,9826,INJURY TO PRISONER,73XX READING RD,39.1958918602242,-84.4595293531418,MALE,BLACK,UNKNOWN,FEMALE,AMERICAN INDIAN,ROSELAWN,ROSELAWN,ROSELAWN
6826,03/24/2013 11:50:00 PM,2013-179288,LCP130324001528,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,78XX NEWBEDFORD AV,39.2051329655777,-84.4568690770217,MALE,BLACK,ADULT,MALE,WHITE,ROSELAWN,ROSELAWN,ROSELAWN
5283,05/16/2010 02:21:00 AM,2010-143742,LCP100516000191,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,17XX SEYMOUR AV,39.1909076856468,-84.4647954324217,FEMALE,BLACK,ADULT,MALE,WHITE,ROSELAWN,ROSELAWN,ROSELAWN
8993,07/04/2017 11:00:00 AM,2017-226324,CPD170705000732,DISTRICT 1,9826,INJURY TO PRISONER,5XX FINDLAY ST,39.1162352000338,-84.5261546233653,MALE,BLACK,ADULT,FEMALE,BLACK,WEST END,WEST  END,WEST END
-6742,03/17/2003 08:41:00 PM,20030165,P030761678,DISTRICT 4,9825,CHEMICAL IRRITANT,23XX KEMPER LN,39.1255453090048,-84.4879579940361,FEMALE,BLACK,UNKNOWN,MALE,BLACK,WALNUT HILLS,WALNUT HILLS,WALNUT HILLS
-8092,07/13/2004 02:34:00 AM,20040596,P041950205,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,32XX WARSAW AV,39.1092312729244,-84.5623737565382,MALE,WHITE,UNKNOWN,FEMALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
-5312,07/24/2001 02:06:00 AM,20010732,P012050142,DISTRICT 1,9826,INJURY TO PRISONER,4XX W MCMICKEN AV,39.1214624916339,-84.5268611757824,MALE,BLACK,UNKNOWN,MALE,WHITE,CUF,OVER-THE-RHINE,OTR
4317,11/01/2008 03:01:00 AM,2008-122512,LCP081101000253,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX WHEELER ST,39.1265235716528,-84.5197882118523,MALE,BLACK,UNKNOWN,FEMALE,WHITE,CUF,FAIRVIEW,CUF
5592,10/27/2010 07:00:00 PM,2010-149925,LCP101027001253,DISTRICT 3,9826,INJURY TO PRISONER,16XX ILIFF AV,39.1186732919155,-84.5797982938531,MALE,BLACK,ADULT,MALE,WHITE,WEST PRICE HILL,WEST PRICE HILL,WEST PRICE HILL
-4540,11/24/2000 10:15:00 AM,20001238,P003290299,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,2XX GOODMAN ST,39.1373652823833,-84.5038422007899,FEMALE,WHITE,UNKNOWN,FEMALE,BLACK,CORRYVILLE,CORRYVILLE,CORRYVILLE
4921,09/21/2009 12:35:00 AM,2009-135807,LCP090921000019,DISTRICT 5,9826,INJURY TO PRISONER,3XX PROBASCO ST,39.1336717918247,-84.5209287896466,MALE,WHITE,ADULT,MALE,WHITE,CUF,CLIFTON/UNIVERSITY HEIGHTS,CUF - HEIGHTS
-7520,01/15/2004 03:29:00 PM,20040019,P040150786,DISTRICT 3,9826,INJURY TO PRISONER,17XX GRAND AV,39.1196591619907,-84.5592735701391,MALE,BLACK,UNKNOWN,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
